iter	Logloss
0	0.6765670432
1	0.6621923001
2	0.6492652715
3	0.6367651042
4	0.6245687371
5	0.6159205054
6	0.6110600187
7	0.6031704689
8	0.5972764415
9	0.5901609165
10	0.5832467673
11	0.5784197175
12	0.5736271371
13	0.5691638117
14	0.5668167596
15	0.5635267532
16	0.5582914112
17	0.5574633792
18	0.556465541
19	0.5549244882
20	0.5527733563
21	0.5513692721
22	0.5492049021
23	0.547192061
24	0.5460927547
25	0.5446331407
26	0.5418651764
27	0.5411137944
28	0.5401545406
29	0.5381235779
30	0.5373490953
31	0.5344750845
32	0.5336088528
33	0.5326709755
34	0.5312304615
35	0.530320304
36	0.5296442036
37	0.5276464651
38	0.5273553116
39	0.5264372776
40	0.5259934255
41	0.5256273265
42	0.5255373689
43	0.5244112762
44	0.5241362668
45	0.5236364477
46	0.5226667034
47	0.5219675613
48	0.5212146568
49	0.5195377904
50	0.5185239146
51	0.5184213128
52	0.5181375229
53	0.5176991239
54	0.5173328039
55	0.5166300019
56	0.5162682515
57	0.515875911
58	0.5153448428
59	0.5147443713
60	0.5137926515
61	0.5127440451
62	0.5125472949
63	0.5122993523
64	0.5120080719
65	0.5116415333
66	0.511249745
67	0.5110929246
68	0.5109435063
69	0.5108075166
70	0.51062561
71	0.5103083767
72	0.5102218675
73	0.5101180541
74	0.5098084227
75	0.509368243
76	0.5092121471
77	0.5090315698
78	0.5089270316
79	0.5087081708
80	0.5082084374
81	0.5078636063
82	0.5077776793
83	0.5074228295
84	0.5068461685
85	0.5068102609
86	0.5061729561
87	0.5060842978
88	0.5057688688
89	0.5056830582
90	0.5054906421
91	0.5051663888
92	0.5049615363
93	0.5046764351
94	0.5045143536
95	0.5044300235
96	0.5042002985
97	0.5039752039
98	0.503893991
99	0.5035870771
100	0.5033533876
101	0.5033246805
102	0.5030187879
103	0.503018787
104	0.5028846114
105	0.5025900337
106	0.5023782275
107	0.5020323794
108	0.5010051634
109	0.5009211067
110	0.5006777161
111	0.5002333335
112	0.5001069416
113	0.4998771949
114	0.4998503636
115	0.4994182132
116	0.4992345973
117	0.4989797344
118	0.4986874018
119	0.4983984054
120	0.4982954863
121	0.498212847
122	0.4972485055
123	0.4969389308
124	0.4967472151
125	0.4967453059
126	0.4965320755
127	0.4964288226
128	0.4963072811
129	0.4957151578
130	0.4957150294
131	0.4953990052
132	0.4952183363
133	0.4950612765
134	0.4950612722
135	0.4949581073
